시도,시군구,년,위도,경도,기온_6월10이상,기온_6월15이상,기온_6월20이상,기온_6월25이상,기온_6월30이상,기온_7월10이상,기온_7월15이상,기온_7월20이상,기온_7월25이상,기온_7월30이상,기온_8월10이상,기온_8월15이상,기온_8월20이상,기온_8월25이상,기온_8월30이상,기온_9월10이상,기온_9월15이상,기온_9월20이상,기온_9월25이상,기온_9월30이상,기온_10월10이상,기온_10월15이상,기온_10월20이상,기온_10월25이상,기온_10월30이상,전_P0,답_P0,임야_P0,대지_P0,공원_P0,과수원_P0,유원지_P0,묘지_P0,남자인구_P1,여자인구_P1,X65이상인구_P1,X65이상남자_P1,X65이상여자_P1,X65이상남자_P2,X65이상여자_P2,X50이상인구_P1,X50이상남자_P1,X50이상여자_P1,X50이상남자_P2,X50이상여자_P2,농가인구_P1,농가남자_P1,농가여자_P1,농가남자_P2,농가여자_P2,위험지수,color
강원도,강릉시,2017,37.753919,128.874452,719,658,455,124,12,744,744,744,432,156,744,744,713,283,48,720,714,447,113,1,679,365,68,0,0,5.023,4.853,80.437,1.784,0.071,0.157,0.002,0.061,50.365,49.635,17.241,7.202,10.039,41.772,58.228,41.16,18.926,22.235,45.98,54.02,8.046,3.86,4.186,47.976,52.024,6.081,white
강원도,강원고성군,2017,34.9729819,128.3222453,719,644,354,57,0,744,744,738,343,118,744,744,691,240,15,718,708,436,63,0,657,326,47,0,0,2.696,5.792,83.002,0.902,0.004,0.028,0.006,0.057,53.368,46.632,23.767,9.664,14.103,40.661,59.339,48.77,22.465,26.305,46.062,53.938,18.39,9.296,9.094,50.549,49.451,6.081,white
강원도,동해시,2017,37.52474,129.114236,716,675,408,47,0,744,744,738,347,66,744,744,711,283,17,720,712,463,55,0,679,407,59,0,0,5.415,2.515,74.784,3.73,0.118,0.083,0.069,0.113,50.714,49.286,16.529,7.011,9.519,42.413,57.587,41.104,19.263,21.842,46.863,53.137,6.94,3.461,3.477,49.878,50.106,6.081,white
강원도,삼척시,2017,37.4498683,129.1652059,716,675,408,47,0,744,744,738,347,66,744,744,711,283,17,720,712,463,55,0,679,407,59,0,0,4.757,1.277,88.023,0.678,0.014,0.032,0.001,0.044,51.729,48.271,20.492,8.227,12.265,40.147,59.853,44.895,20.721,24.174,46.154,53.846,14.43,6.717,7.712,46.547,53.443,6.081,white
강원도,속초시,2017,38.207017,128.591905,719,644,354,57,0,744,744,738,343,118,744,744,691,240,15,718,708,436,63,0,657,326,47,0,0,3.974,4.132,73.94,5.849,0.074,0.293,0.349,0.012,49.374,50.626,16.133,6.49,9.643,40.23,59.77,42.112,19.536,22.576,46.391,53.609,3.625,1.859,1.766,51.29,48.71,6.081,white
강원도,양구군,2017,38.1099869,127.9899659,708,584,352,130,28,744,744,726,278,42,744,720,600,193,40,707,539,234,51,0,503,243,57,2,0,7.28,3.839,80.123,0.583,0.01,0.03,0,0.055,53.851,46.149,17.806,7.159,10.646,40.208,59.792,40.514,19.402,21.112,47.89,52.11,22.903,12.098,10.805,52.824,47.176,6.081,white
강원도,양양군,2017,38.0753921,128.6191279,719,644,354,57,0,744,744,738,343,118,744,744,691,240,15,718,708,436,63,0,657,326,47,0,0,3.793,4.407,83.67,1.022,0.012,0.084,0.004,0.027,50.537,49.463,26.826,11.413,15.413,42.544,57.456,55.45,25.669,29.78,46.293,53.707,29.334,14.114,15.22,48.115,51.885,6.455,white
강원도,영월군,2017,37.204682,128.503562,715,637,388,174,40,744,744,731,316,50,744,730,648,252,46,705,575,263,51,0,588,318,90,7,0,7.255,1.275,84.887,0.768,0.006,0.037,0.042,0.051,51.572,48.428,25.49,10.837,14.653,42.514,57.486,54.904,26.369,28.535,48.027,51.973,22.142,10.774,11.368,48.659,51.341,6.081,white
강원도,원주시,2017,37.341827,127.919676,719,683,466,201,26,744,744,744,397,53,744,740,656,312,52,716,644,310,60,0,607,358,103,3,0,7.035,6.762,71.239,2.834,0.196,0.304,0.068,0.112,49.784,50.216,12.452,5.129,7.323,41.189,58.811,34.962,16.493,18.468,47.175,52.825,6.133,3.019,3.114,49.226,50.774,6.081,white
강원도,인제군,2017,38.069434,128.170699,708,584,352,130,28,744,744,726,278,42,744,720,600,193,40,707,539,234,51,0,503,243,57,2,0,3.332,0.933,89.471,0.41,0.006,0.011,0.01,0.009,54.096,45.904,17.83,7.674,10.156,43.04,56.96,42.831,20.982,21.85,48.987,51.013,23.549,11.902,11.648,50.54,49.46,6.081,white
